ETUNIMI;YHTEENSÄ
Einikki;39
Terése;39
Mahamud;39
Neilikka;39
Simona;39
Pirjo-Liisa;39
Alfrida;39
Sirke;39
Rosalinda;39
Jannentytär;39
Deborah;39
Maritsa;39
Bodil;39
Elly;39
Hanni;39
Ailikki;39
Vy;39
Matilde;39
Eliza;39
Eileen;38
Margaretta;38
Marjorie;38
Annami;38
Kukkamaaria;38
Amalie;38
Renee;38
Vivianna;38
Wellamo;38
Christiane;38
Sanniina;38
Esteriina;38
Nadia;38
Andersdotter;38
Anna-Stina;38
Ilkantytär;38
Fransiska;38
Anjuska;37
Beatrix;37
Viia;37
Linne;37
Hille;37
Aino-Maija;37
Eerica;37
Ancela;37
June;37
Delila;37
Juanita;37
Linéa;37
Lise-Lotte;37
Minella;37
Tatiana;37
Johansdotter;37
Pomeliina;37
Ollintytär;37
Pricilla;37
Annariina;37
Eline;37
Mianna;37
Ancelika;36
Rauna;36
Elvina;36
Hilde;36
Larsdotter;36
Le;36
Valpu;36
Esantytär;36
Assi;36
Viktorovna;36
Hagar;36
Debora;36
Soraja;36
Amy;36
Maijaliisa;36
Jarna;36
Enneli;36
Hope;36
Daalia;36
Repekka;36
Kate;36
Erkintytär;36
Ristontytär;36
Karpalo;36
Ellinora;36
Mariikka;35
Tiitu;35
Ros-Marie;35
Emine;35
Anna-Stiina;35
Frederika;35
Penelope;35
Meiju;35
Ivanovna;35
Meerit;35
Melody;35
Alejandra;35
Airiina;35
Hilpi;35
Jamina;35
Dung;35
Maria-Leena;35
Svetlana;35
Apollonia;35
Elmiira;35
Mohammad;35
Sanna-Mari;35
Beada;35
Johanne;35
Chantal;35
Leonie;35
Celinda;35
Dora;35
Manteli;35
Samintytär;35
Halla;34
Sofiina;34
Alica;34
Nia;34
Greeta;34
Sievä;34
Safiira;34
Susana;34
Marcella;34
Jounintytär;34
Pulmu;34
Anna-Greta;34
Maaren;34
Hoa;34
Rae;34
Tania;34
Melida;34
Eleonore;34
Sadetta;34
Agnete;34
Eeva-Riitta;34
Ailiina;34
Nanny;34
Hanh;34
Lise-Lott;34
Andréa;34
Hang;34
Sarika;34
Ella-Maria;34
Leia;33
Loan;33
Nhu;33
Fransina;33
Marine;33
Izabella;33
Vineta;33
Lucina;33
Sharon;33
Eugenie;33
April;33
Sienna;33
Birgitte;33
Thelma;33
Abbas;33
Janessa;33
Ruska;33
Snöfrid;33
Beatriz;33
Tuomaantytär;33
Katri-Helena;33
Huyen;33
Tapiontytär;33
Tuike;33
Effia;33
Ilo;33
Emelina;33
Madeline;33
Manda;33
Anna-Karin;32
Margherita;32
Sulamit;32
Mari-Louise;32
Stefania;32
Omena;32
Elif;32
Aaria;32
Safia;32
Mi;32
Hinni;32
Anna-Kristiina;32
Aukusta;32
Ulla-Maria;32
Katjuska;32
Cia;32
Dorrit;32
Annemarie;32
Marjuska;32
Leontine;32
Maud;32
Oline;31
Dahir;31
Eva-Liisa;31
Thyra;31
Rosemarie;31
Gerd;31
Helfrid;31
Nikolaevna;31
Jennie;31
Jessiina;31
Ulfsdotter;31
Tilde;31
Sylva;31
Raija-Liisa;31
Cindy;31
Liana;31
Sara-Sofia;31
Tam;31
Corinne;31
Dawn;31
Tianna;31
Martintytär;31
Quynh;31
Hetti;31
Lulu;31
Paulette;31
Otteliana;31
Tuomontytär;31
Iman;30
Madleena;30
Ann-Maria;30
Sinella;30
Mustafa;30
Björnsdotter;30
Linnèa;30
Marget;30
Terontytär;30
Aksiina;30
Wiola;30
Priitta;30
Ellevi;30
Ling;30
Sanja;30
Nova;30
Toive;30
Karolin;30
Minttu-Maaria;30
Muru;29
Mahad;29
Carlotta;29
Nelma;29
Tiuku;29
Ragnborg;29
Maj-Gret;29
del;29
Chiara;29
Catariina;29
Melek;29
Matlena;29
Illuusia;29
Isolde;29
Melodia;29
Alfhilda;29
Kaari;29
Galina;29
Markitta;29
Iira;29
